AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6
Portsmouth,E06000044,9.9,10.2,11.0,10.1,10.9,9.7
Southampton,E06000045,10.0,10.0,10.1,9.6,9.1,9.1
Isle of Wight,E06000046,10.4,9.5,10.2,10.7,11.5,11.3
County Durham,E06000047,8.0,8.0,7.7,8.2,8.4,8.3
Cheshire East,E06000049,10.6,9.7,13.3,12.8,11.3,12.0
Cheshire West and Chester,E06000050,9.9,10.3,10.8,10.2,12.4,12.6
Shropshire,E06000051,10.8,10.3,10.1,10.6,10.2,11.7
Cornwall,E06000052,10.9,11.6,11.4,11.5,12.1,12.2
Wiltshire,E06000054,11.6,12.6,13.7,12.8,11.7,12.7
Bedford,E06000055,12.0,11.3,11.8,11.6,9.8,11.2
Central Bedfordshire,E06000056,10.6,10.0,9.8,8.6,10.8,11.4
Northumberland,E06000057,10.5,10.1,9.8,9.8,11.1,11.6
Bolton,E08000001,10.4,10.2,10.7,10.1,10.6,10.2
Bury,E08000002,9.0,8.6,8.4,9.2,7.9,8.4
Manchester,E08000003,7.0,7.7,7.6,6.2,6.4,5.8
Oldham ,E08000004,9.3,9.9,8.4,10.0,9.2,9.1
Rochdale,E08000005,8.6,7.8,8.5,9.1,9.9,8.3
Salford,E08000006,7.3,7.3,7.4,7.8,9.2,9.4
Stockport,E08000007,10.7,12.4,11.5,11.8,11.8,11.6
Tameside,E08000008,8.6,9.0,8.8,8.7,7.8,8.9
Trafford,E08000009,9.9,9.5,10.9,10.5,10.5,10.1
Wigan,E08000010,7.8,8.3,9.1,7.6,7.6,8.5
Knowsley ,E08000011,7.2,7.9,7.9,7.8,8.0,7.7
Liverpool,E08000012,7.3,7.2,7.5,8.2,7.9,8.1
St. Helens,E08000013,8.3,9.2,9.5,10.3,9.4,9.4
Sefton,E08000014,9.5,9.6,10.1,9.5,9.2,9.9
Wirral,E08000015,9.6,9.1,9.5,9.7,9.6,9.4
Barnsley,E08000016,8.0,8.0,7.5,8.1,7.8,8.8
Doncaster,E08000017,8.9,9.1,8.8,9.1,9.8,9.4
Rotherham ,E08000018,7.2,7.2,7.6,8.6,9.2,9.2
Sheffield,E08000019,8.8,8.5,8.7,8.9,8.7,8.9
Newcastle upon Tyne,E08000021,8.5,8.3,7.2,8.1,7.6,7.6
North Tyneside,E08000022,8.1,7.9,7.7,7.5,9.0,9.3
South Tyneside,E08000023,7.7,7.4,8.4,8.3,7.0,6.9
Sunderland,E08000024,7.5,8.1,8.1,8.2,8.2,8.0
Birmingham,E08000025,9.4,9.1,9.7,8.5,8.3,8.3
Coventry,E08000026,8.7,8.9,8.9,7.7,9.2,9.8
Dudley ,E08000027,10.2,10.0,9.8,9.6,9.3,8.4
Sandwell ,E08000028,7.0,7.0,8.1,8.7,7.1,7.2
Solihull,E08000029,10.7,9.8,10.7,9.6,10.3,10.9
Walsall,E08000030,9.2,9.6,9.6,8.8,8.0,8.2
Wolverhampton,E08000031,7.7,7.6,7.5,8.0,6.7,6.8
Bradford ,E08000032,9.9,10.1,10.7,9.9,10.8,10.6
Calderdale,E08000033,9.0,8.0,8.9,9.4,9.2,9.8
Kirklees ,E08000034,8.6,8.4,10.3,10.2,9.2,8.9
Leeds ,E08000035,8.8,9.2,9.4,9.4,9.5,9.0
Wakefield,E08000036,8.2,8.4,7.5,7.9,7.5,7.7
Gateshead,E08000037,7.6,8.1,7.9,8.6,7.9,9.0
Barking and Dagenham,E09000002,6.1,6.5,8.4,8.6,8.1,6.6
Barnet,E09000003,10.6,11.6,11.3,11.4,11.5,9.1
Bexley,E09000004,11.6,11.7,11.3,10.1,11.0,10.7
Brent ,E09000005,11.2,8.3,8.3,10.3,10.8,10.5
Bromley,E09000006,11.3,12.0,12.4,11.5,12.3,11.3
Camden,E09000007,8.1,10.1,7.8,10.9,10.7,12.2
Croydon,E09000008,10.5,10.9,9.5,9.7,9.5,9.3
Ealing,E09000009,7.3,8.0,8.9,10.0,10.9,10.1
Enfield,E09000010,8.8,10.4,9.6,12.6,13.4,10.3
Greenwich,E09000011,8.1,8.0,9.6,8.3,8.0,7.8
Hackney ,E09000012,9.7,10.4,9.9,9.4,7.4,7.8
Hammersmith and Fulham ,E09000013,10.1,9.5,8.4,8.8,10.0,9.5
Haringey,E09000014,9.5,8.6,11.4,11.4,10.9,10.9
Harrow,E09000015,9.4,10.6,10.8,13.1,13.1,9.3
Havering,E09000016,11.0,10.7,11.2,12.1,11.8,11.3
Hillingdon,E09000017,10.3,10.0,10.1,11.2,13.0,11.2
Hounslow,E09000018,7.7,8.9,8.5,8.5,8.0,9.3
Islington,E09000019,5.5,4.6,6.1,7.3,8.9,7.8
Kensington and Chelsea,E09000020,11.3,11.6,11.7,13.2,12.1,10.8
Kingston upon Thames,E09000021,10.2,10.5,10.8,11.9,13.7,16.0
Lambeth ,E09000022,7.4,6.9,11.2,10.1,8.4,7.8
Lewisham ,E09000023,9.1,10.3,11.8,8.7,8.9,10.5
Merton,E09000024,9.4,8.2,8.7,9.2,9.4,9.0
Newham ,E09000025,6.5,7.9,7.3,5.5,6.8,12.4
Redbridge,E09000026,10.2,9.8,8.5,9.3,9.3,9.8
Richmond upon Thames,E09000027,12.1,12.9,11.9,12.7,13.1,12.7
Southwark,E09000028,7.0,7.8,8.0,8.7,8.2,7.8
Sutton,E09000029,9.6,10.4,11.6,11.3,9.9,10.3
Tower Hamlets,E09000030,6.8,5.2,5.4,4.8,4.6,11.9
Waltham Forest,E09000031,8.1,8.4,8.1,8.2,6.5,7.8
Wandsworth,E09000032,10.7,9.5,10.1,10.5,7.8,8.4
Westminster,E09000033,14.8,14.7,13.0,12.5,10.9,9.6
Buckinghamshire,E10000002,12.2,11.8,11.3,12.1,12.4,12.5
Cambridgeshire,E10000003,10.5,11.1,11.0,11.1,11.1,10.2
Cumbria ,E10000006,9.2,9.3,9.9,9.9,10.4,10.9
Derbyshire,E10000007,9.4,10.3,9.2,9.2,9.6,11.1
Devon,E10000008,11.4,11.0,12.0,11.1,10.8,11.7
Dorset,E10000009,11.9,12.3,11.9,12.8,12.4,11.2
East Sussex,E10000011,11.0,11.6,11.8,11.2,11.6,12.0
Essex,E10000012,11.1,10.9,11.0,10.9,10.8,10.6
Gloucestershire,E10000013,11.1,10.7,10.3,10.2,12.3,12.1
Hampshire,E10000014,11.9,12.1,12.0,12.4,12.8,12.8
Hertfordshire ,E10000015,10.2,10.0,10.3,10.8,10.3,11.9
Kent,E10000016,9.6,10.1,10.2,10.5,10.3,10.7
Lancashire,E10000017,9.4,9.3,9.7,9.8,9.9,10.9
Leicestershire,E10000018,10.3,11.0,10.1,10.3,10.7,11.1
Lincolnshire ,E10000019,10.5,10.7,10.2,10.7,10.1,9.6
Norfolk ,E10000020,10.3,10.6,11.2,10.7,10.6,10.8
Northamptonshire ,E10000021,10.7,11.1,11.3,11.0,11.4,10.3
North Yorkshire,E10000023,12.0,10.4,11.0,11.7,11.8,12.0
Nottinghamshire,E10000024,9.1,9.6,9.6,9.3,9.6,9.2
Oxfordshire ,E10000025,11.4,10.7,11.2,12.5,11.7,11.2
Somerset ,E10000027,11.2,11.7,12.5,11.3,12.3,12.1
Staffordshire,E10000028,9.6,9.7,9.4,9.6,9.8,10.6
Suffolk,E10000029,11.8,12.1,11.0,11.9,11.6,10.6
Surrey,E10000030,11.7,12.1,12.2,12.7,13.6,13.3
Warwickshire,E10000031,11.8,11.9,12.5,11.8,12.3,11.8
West Sussex,E10000032,11.4,11.8,12.5,11.9,12.3,12.5
Worcestershire,E10000034,10.9,10.4,11.4,11.7,11.5,11.9
